,Perm,Valid_perf_MAE,Valid_perf_corr,Test_perf_MAE,Test_perf_corr,All_perf_MAE,All_perf_corr
0,0.0,7.291646263280035,0.6568138126565476,4.011377117242703,0.7834154671994406,5.448726303690321,0.48842909666420853
1,1.0,4.816982143989471,0.48605808772818804,3.6487040052322266,0.7825078843993687,5.356220020198714,0.4910586681593516
2,2.0,5.287883908418541,0.7572615363085513,4.184879441429185,0.8034315639157225,5.517983170805156,0.4587983814400921
3,3.0,5.624679077200258,0.30263224208969713,3.7491012792861595,0.7729735144929577,5.380257252026599,0.4904514571376269
4,4.0,4.615910234333574,0.6522942602920871,3.917091741407828,0.7831068709581839,5.416054428099184,0.48427191667006897
5,5.0,4.429197791086273,0.6923435967364547,3.6752989748694214,0.7851602107275641,5.364936775725192,0.48827614590275764
6,6.0,6.269596032021517,0.6563418631089862,4.051360007075784,0.7934942057681844,5.463615583475571,0.48492855104984467
7,7.0,4.3645072289916405,0.8140054180194829,3.7589780418729175,0.7924478051700776,5.397469792953352,0.48450167689877444
8,8.0,7.468532273779465,0.11738535091188937,3.430508513167058,0.7796147549305127,5.437309394841025,0.4833265107341884
9,9.0,5.702585211789694,0.42295531673097997,3.8102799616170095,0.7919712575901268,5.43654907839646,0.4675308919779936
10,10.0,6.503644288602578,0.08527542350734105,3.5640954924333634,0.7701090425043378,5.4190274956091224,0.48725765601576565
11,11.0,4.339690220168327,0.3586720854758824,3.5849232278268213,0.7811788749959898,5.340145771100814,0.4919184606717778
12,12.0,4.787002389028714,0.6453851275275686,3.5447627497779175,0.7807376935552324,5.3093782230899995,0.49438410086290413
13,13.0,4.792018277320732,0.8299360811038281,3.678267840056388,0.7776463535792587,5.392973506357313,0.4846311106390258
14,14.0,4.865914886539793,0.498630002545315,3.519407130180242,0.7862550687829579,5.343151417529874,0.4919225199267039
15,15.0,6.5130895680529735,0.4733563193571817,3.63921967073183,0.79496116689988,5.407380486910023,0.48262017853840145
16,16.0,5.731231984938138,0.4590567960612022,3.908472453319644,0.7782968592683547,5.393593521332669,0.48884413057568166
17,17.0,5.557236403256796,0.7248013315641697,3.3741765984887664,0.7909017739913241,5.275233524610658,0.538250347184636
18,18.0,6.681643083208564,0.5464190776945502,3.6225959170893796,0.7797627803165224,5.354188857016977,0.48751595210437537
19,19.0,5.450096406834326,0.438643793425196,3.5841982831806947,0.7689597460839903,5.383276252123629,0.4861666819227851
20,20.0,5.9608098029541505,0.32642190654691106,3.656826939631363,0.7932196942218593,5.3646183359636685,0.48911931282816323
21,21.0,6.70579124921595,0.5312931805448826,3.606136084188172,0.7849154257554168,5.386096225437104,0.4876147038808192
22,22.0,6.440667519959214,0.5292905382151796,3.519205343529836,0.7958776928382882,5.209693488166541,0.5281481455810724
